ALG,GATES,PLANES,TIME
FCFS,5,14,131
FCFS,8,10,103.7142857
FCFS,4,9,101.9375
FCFS,8,3,51
FCFS,4,22,172.2727273
FCFS,4,17,142.5
FCFS,4,6,80.26666667
FCFS,7,18,147.4285714
FCFS,5,18,147.375
FCFS,2,18,148.3076923
FCFS,2,5,85.16666667
FCFS,1,12,104.7333333
FCFS,6,10,102.952381
FCFS,4,23,173.3333333
FCFS,6,6,84.27272727
FCFS,9,18,146.4736842
FCFS,6,17,138.1428571
FCFS,5,4,67.64705882
FCFS,8,16,144.75
FCFS,7,6,79.68421053
FCFS,6,4,63.77777778
FCFS,9,20,159.8571429
FCFS,4,20,162.7058824
FCFS,3,13,124.625
FCFS,3,3,60.21052632
FCFS,5,4,63
FCFS,9,22,167
FCFS,1,23,152.4285714
FCFS,1,19,143.4
FCFS,8,12,117.6470588
FCFS,2,3,66.66666667
FCFS,8,4,68.7826087
FCFS,4,5,77.63157895
FCFS,9,3,57.6875
FCFS,2,6,92.41666667
FCFS,1,23,154.875
FCFS,5,5,66.2
FCFS,3,14,133.75
FCFS,2,19,162.2941176
FCFS,1,17,129.5333333
FCFS,3,1,36.14285714
FCFS,4,2,47
FCFS,9,20,155
FCFS,9,5,73.84615385
FCFS,8,14,121
FCFS,7,3,57.5
FCFS,8,7,85.90909091
FCFS,3,12,102
FCFS,5,23,176
FCFS,4,7,90.42857143
FCFS,5,5,74.8
FCFS,1,19,134.8181818
FCFS,2,22,162.4666667
FCFS,2,5,85.83333333
FCFS,9,16,130
FCFS,1,7,75.57142857
FCFS,7,15,135.6153846
FCFS,4,18,154.8333333
FCFS,5,20,156
FCFS,2,6,96
FCFS,5,6,83.28571429
FCFS,1,23,148.6
FCFS,7,16,135.75
FCFS,2,12,127.0588235
FCFS,1,4,64.07692308
FCFS,8,24,177.8888889
FCFS,6,19,155.8888889
FCFS,6,9,98.61538462
FCFS,5,3,54.11764706
FCFS,9,7,94
FCFS,7,14,126.6428571
FCFS,9,21,137
FCFS,7,11,109.4666667
FCFS,6,2,47.83333333
FCFS,2,20,153
